Color by field,Color by swap,Country,Region,Sector,Top country,Units,Year,Capacity (MW),Capacity GW & Generation TWh,Capacity MW & Generation GWh,Generation (GWh),Number of Records,Report year
Wind,Sector,Egypt,Middle East & Africa,Wind,Other countries,GWh,2012,,1.26,1260,1260,1,2013
Biomass,Sector,Egypt,Middle East & Africa,Biomass,Other countries,MW,2012,0,0,0,,1,2013
Coal,Sector,Egypt,Middle East & Africa,Coal,Other countries,MW,2012,0,0,0,,1,2013
Hydroelectric,Sector,Egypt,Middle East & Africa,Hydroelectric,Other countries,MW,2012,2800,2.8,2800,,1,2013
Natural Gas,Sector,Egypt,Middle East & Africa,Natural Gas,Other countries,MW,2012,12906,12.906,12906,,1,2013
Nuclear,Sector,Egypt,Middle East & Africa,Nuclear,Other countries,MW,2012,0,0,0,,1,2013
Oil,Sector,Egypt,Middle East & Africa,Oil,Other countries,MW,2012,12919,12.919,12919,,1,2013
Hydroelectric,Sector,Egypt,Middle East & Africa,Hydroelectric,Other countries,MW,2012,0,0,0,,1,2013
Solar,Sector,Egypt,Middle East & Africa,Solar,Other countries,MW,2012,0,0,0,,1,2013
Wind,Sector,Egypt,Middle East & Africa,Wind,Other countries,MW,2012,547,0.547,547,,1,2013
Biomass,Sector,Egypt,Middle East & Africa,Biomass,Other countries,GWh,2013,,0,0,0,1,2014
Coal,Sector,Egypt,Middle East & Africa,Coal,Other countries,GWh,2013,,0,0,0,1,2014
Hydroelectric,Sector,Egypt,Middle East & Africa,Hydroelectric,Other countries,GWh,2013,,12.94,12940,12940,1,2014
Natural Gas,Sector,Egypt,Middle East & Africa,Natural Gas,Other countries,GWh,2013,,93.79,93790,93790,1,2014
Nuclear,Sector,Egypt,Middle East & Africa,Nuclear,Other countries,GWh,2013,,0,0,0,1,2014
Oil,Sector,Egypt,Middle East & Africa,Oil,Other countries,GWh,2013,,56.22,56220,56220,1,2014
Hydroelectric,Sector,Egypt,Middle East & Africa,Hydroelectric,Other countries,GWh,2013,,0,0,0,1,2014
Solar,Sector,Egypt,Middle East & Africa,Solar,Other countries,GWh,2013,,0,0,0,1,2014
Wind,Sector,Egypt,Middle East & Africa,Wind,Other countries,GWh,2013,,1.287,1287,1287,1,2014
Biomass,Sector,Egypt,Middle East & Africa,Biomass,Other countries,MW,2013,0,0,0,,1,2014
Coal,Sector,Egypt,Middle East & Africa,Coal,Other countries,MW,2013,0,0,0,,1,2014
Hydroelectric,Sector,Egypt,Middle East & Africa,Hydroelectric,Other countries,MW,2013,2800,2.8,2800,,1,2014
Natural Gas,Sector,Egypt,Middle East & Africa,Natural Gas,Other countries,MW,2013,13628,13.628,13628,,1,2014
Nuclear,Sector,Egypt,Middle East & Africa,Nuclear,Other countries,MW,2013,0,0,0,,1,2014
Oil,Sector,Egypt,Middle East & Africa,Oil,Other countries,MW,2013,14044,14.044,14044,,1,2014
Hydroelectric,Sector,Egypt,Middle East & Africa,Hydroelectric,Other countries,MW,2013,0,0,0,,1,2014
Solar,Sector,Egypt,Middle East & Africa,Solar,Other countries,MW,2013,0,0,0,,1,2014
Wind,Sector,Egypt,Middle East & Africa,Wind,Other countries,MW,2013,547,0.547,547,,1,2014
Biomass,Sector,Egypt,Middle East & Africa,Biomass,Other countries,GWh,2014,,0,0,0,1,2015
Coal,Sector,Egypt,Middle East & Africa,Coal,Other countries,GWh,2014,,0,0,0,1,2015
Hydroelectric,Sector,Egypt,Middle East & Africa,Hydroelectric,Other countries,GWh,2014,,13.979,13979,13979,1,2015
Natural Gas,Sector,Egypt,Middle East & Africa,Natural Gas,Other countries,GWh,2014,,99.458,99458,99458,1,2015
Nuclear,Sector,Egypt,Middle East & Africa,Nuclear,Other countries,GWh,2014,,0,0,0,1,2015
Oil,Sector,Egypt,Middle East & Africa,Oil,Other countries,GWh,2014,,53.732,53732,53732,1,2015
Hydroelectric,Sector,Egypt,Middle East & Africa,Hydroelectric,Other countries,GWh,2014,,0,0,0,1,2015
Solar,Sector,Egypt,Middle East & Africa,Solar,Other countries,GWh,2014,,0,0,0,1,2015
Wind,Sector,Egypt,Middle East & Africa,Wind,Other countries,GWh,2014,,1.332,1332,1332,1,2015
Biomass,Sector,Egypt,Middle East & Africa,Biomass,Other countries,MW,2014,0,0,0,,1,2015
Coal,Sector,Egypt,Middle East & Africa,Coal,Other countries,MW,2014,0,0,0,,1,2015
Hydroelectric,Sector,Egypt,Middle East & Africa,Hydroelectric,Other countries,MW,2014,2800,2.8,2800,,1,2015
Natural Gas,Sector,Egypt,Middle East & Africa,Natural Gas,Other countries,MW,2014,14745,14.745,14745,,1,2015
Nuclear,Sector,Egypt,Middle East & Africa,Nuclear,Other countries,MW,2014,0,0,0,,1,2015
Oil,Sector,Egypt,Middle East & Africa,Oil,Other countries,MW,2014,14014,14.014,14014,,1,2015
Hydroelectric,Sector,Egypt,Middle East & Africa,Hydroelectric,Other countries,MW,2014,0,0,0,,1,2015
Solar,Sector,Egypt,Middle East & Africa,Solar,Other countries,MW,2014,0,0,0,,1,2015
Wind,Sector,Egypt,Middle East & Africa,Wind,Other countries,MW,2014,547,0.547,547,,1,2015
Biomass,Sector,Egypt,Middle East & Africa,Biomass,Other countries,GWh,2015,,0,0,0,1,2016
Coal,Sector,Egypt,Middle East & Africa,Coal,Other countries,GWh,2015,,0,0,0,1,2016
Hydroelectric,Sector,Egypt,Middle East & Africa,Hydroelectric,Other countries,GWh,2015,,14.569,14569,14569,1,2016
Natural Gas,Sector,Egypt,Middle East & Africa,Natural Gas,Other countries,GWh,2015,,138.304,138304,138304,1,2016
Nuclear,Sector,Egypt,Middle East & Africa,Nuclear,Other countries,GWh,2015,,0,0,0,1,2016
Oil,Sector,Egypt,Middle East & Africa,Oil,Other countries,GWh,2015,,21.029,21029,21029,1,2016
Hydroelectric,Sector,Egypt,Middle East & Africa,Hydroelectric,Other countries,GWh,2015,,0,0,0,1,2016
Solar,Sector,Egypt,Middle East & Africa,Solar,Other countries,GWh,2015,,0.2753268,275.3268,275.3268,1,2016
Wind,Sector,Egypt,Middle East & Africa,Wind,Other countries,GWh,2015,,1.444,1444,1444,1,2016
Biomass,Sector,Egypt,Middle East & Africa,Biomass,Other countries,MW,2015,0,0,0,,1,2016
Coal,Sector,Egypt,Middle East & Africa,Coal,Other countries,MW,2015,0,0,0,,1,2016
Hydroelectric,Sector,Egypt,Middle East & Africa,Hydroelectric,Other countries,MW,2015,2800,2.8,2800,,1,2016
Natural Gas,Sector,Egypt,Middle East & Africa,Natural Gas,Other countries,MW,2015,20465,20.465,20465,,1,2016
Nuclear,Sector,Egypt,Middle East & Africa,Nuclear,Other countries,MW,2015,0,0,0,,1,2016
Oil,Sector,Egypt,Middle East & Africa,Oil,Other countries,MW,2015,11655,11.655,11655,,1,2016
Hydroelectric,Sector,Egypt,Middle East & Africa,Hydroelectric,Other countries,MW,2015,0,0,0,,1,2016
Solar,Sector,Egypt,Middle East & Africa,Solar,Other countries,MW,2015,6,0.006,6,,1,2016
Wind,Sector,Egypt,Middle East & Africa,Wind,Other countries,MW,2015,747,0.747,747,,1,2016
Biomass,Sector,Egypt,Middle East & Africa,Biomass,Other countries,GWh,2016,,0,0,0,1,2017
Coal,Sector,Egypt,Middle East & Africa,Coal,Other countries,GWh,2016,,0,0,0,1,2017
Hydroelectric,Sector,Egypt,Middle East & Africa,Hydroelectric,Other countries,GWh,2016,,13.545,13545,13545,1,2017
Natural Gas,Sector,Egypt,Middle East & Africa,Natural Gas,Other countries,GWh,2016,,129.435594,129435.594,129435.594,1,2017
Nuclear,Sector,Egypt,Middle East & Africa,Nuclear,Other countries,GWh,2016,,0,0,0,1,2017
Oil,Sector,Egypt,Middle East & Africa,Oil,Other countries,GWh,2016,,41.07140602,41071.40602,41071.40602,1,2017
Hydroelectric,Sector,Egypt,Middle East & Africa,Hydroelectric,Other countries,GWh,2016,,0,0,0,1,2017
Solar,Sector,Egypt,Middle East & Africa,Solar,Other countries,GWh,2016,,0.2851599,285.1599,285.1599,1,2017
Wind,Sector,Egypt,Middle East & Africa,Wind,Other countries,GWh,2016,,2.058,2058,2058,1,2017
Biomass,Sector,Egypt,Middle East & Africa,Biomass,Other countries,MW,2016,0,0,0,,1,2017
Coal,Sector,Egypt,Middle East & Africa,Coal,Other countries,MW,2016,0,0,0,,1,2017
Hydroelectric,Sector,Egypt,Middle East & Africa,Hydroelectric,Other countries,MW,2016,2800,2.8,2800,,1,2017
Natural Gas,Sector,Egypt,Middle East & Africa,Natural Gas,Other countries,MW,2016,24045.3163,24.0453163,24045.3163,,1,2017
Nuclear,Sector,Egypt,Middle East & Africa,Nuclear,Other countries,MW,2016,0,0,0,,1,2017
Oil,Sector,Egypt,Middle East & Africa,Oil,Other countries,MW,2016,12011,12.011,12011,,1,2017
Hydroelectric,Sector,Egypt,Middle East & Africa,Hydroelectric,Other countries,MW,2016,0,0,0,,1,2017
Solar,Sector,Egypt,Middle East & Africa,Solar,Other countries,MW,2016,11,0.011,11,,1,2017
Wind,Sector,Egypt,Middle East & Africa,Wind,Other countries,MW,2016,747,0.747,747,,1,2017
Biomass,Sector,Egypt,Middle East & Africa,Biomass,Other countries,GWh,2017,,0,0,0,1,2018
Coal,Sector,Egypt,Middle East & Africa,Coal,Other countries,GWh,2017,,0,0,0,1,2018
Hydroelectric,Sector,Egypt,Middle East & Africa,Hydroelectric,Other countries,GWh,2017,,12.85,12850,12850,1,2018
Natural Gas,Sector,Egypt,Middle East & Africa,Natural Gas,Other countries,GWh,2017,,146.785,146785,146785,1,2018
Nuclear,Sector,Egypt,Middle East & Africa,Nuclear,Other countries,GWh,2017,,0,0,0,1,2018
Oil,Sector,Egypt,Middle East & Africa,Oil,Other countries,GWh,2017,,27.1,27100,27100,1,2018
Hydroelectric,Sector,Egypt,Middle East & Africa,Hydroelectric,Other countries,GWh,2017,,0,0,0,1,2018
Solar,Sector,Egypt,Middle East & Africa,Solar,Other countries,GWh,2017,,0.3048261,304.8261,304.8261,1,2018
Wind,Sector,Egypt,Middle East & Africa,Wind,Other countries,GWh,2017,,2.2,2200,2200,1,2018
Biomass,Sector,Egypt,Middle East & Africa,Biomass,Other countries,MW,2017,0,0,0,,1,2018
Coal,Sector,Egypt,Middle East & Africa,Coal,Other countries,MW,2017,0,0,0,,1,2018
Hydroelectric,Sector,Egypt,Middle East & Africa,Hydroelectric,Other countries,MW,2017,2800,2.8,2800,,1,2018
Natural Gas,Sector,Egypt,Middle East & Africa,Natural Gas,Other countries,MW,2017,29545,29.545,29545,,1,2018
Nuclear,Sector,Egypt,Middle East & Africa,Nuclear,Other countries,MW,2017,0,0,0,,1,2018
Oil,Sector,Egypt,Middle East & Africa,Oil,Other countries,MW,2017,12662,12.662,12662,,1,2018
Hydroelectric,Sector,Egypt,Middle East & Africa,Hydroelectric,Other countries,MW,2017,0,0,0,,1,2018
Solar,Sector,Egypt,Middle East & Africa,Solar,Other countries,MW,2017,21,0.021,21,,1,2018
Wind,Sector,Egypt,Middle East & Africa,Wind,Other countries,MW,2017,747,0.747,747,,1,2018
Biomass,Sector,Egypt,Middle East & Africa,Biomass,Other countries,GWh,2018,,0,0,0,1,2019
Coal,Sector,Egypt,Middle East & Africa,Coal,Other countries,GWh,2018,,0,0,0,1,2019
Hydroelectric,Sector,Egypt,Middle East & Africa,Hydroelectric,Other countries,GWh,2018,,12.726,12726,12726,1,2019
Natural Gas,Sector,Egypt,Middle East & Africa,Natural Gas,Other countries,GWh,2018,,151.6195677,151619.5677,151619.5677,1,2019
Nuclear,Sector,Egypt,Middle East & Africa,Nuclear,Other countries,GWh,2018,,0,0,0,1,2019
Oil,Sector,Egypt,Middle East & Africa,Oil,Other countries,GWh,2018,,29.38643227,29386.43227,29386.43227,1,2019
Hydroelectric,Sector,Egypt,Middle East & Africa,Hydroelectric,Other countries,GWh,2018,,0,0,0,1,2019
Solar,Sector,Egypt,Middle East & Africa,Solar,Other countries,GWh,2018,,0.3244923,324.4923,324.4923,1,2019
Wind,Sector,Egypt,Middle East & Africa,Wind,Other countries,GWh,2018,,2.334,2334,2334,1,2019
Biomass,Sector,Egypt,Middle East & Africa,Biomass,Other countries,MW,2018,0,0,0,,1,2019
Coal,Sector,Egypt,Middle East & Africa,Coal,Other countries,MW,2018,0,0,0,,1,2019
Hydroelectric,Sector,Egypt,Middle East & Africa,Hydroelectric,Other countries,MW,2018,2832,2.832,2832,,1,2019
Natural Gas,Sector,Egypt,Middle East & Africa,Natural Gas,Other countries,MW,2018,43945,43.945,43945,,1,2019
Nuclear,Sector,Egypt,Middle East & Africa,Nuclear,Other countries,MW,2018,0,0,0,,1,2019
Oil,Sector,Egypt,Middle East & Africa,Oil,Other countries,MW,2018,7268,7.268,7268,,1,2019
Hydroelectric,Sector,Egypt,Middle East & Africa,Hydroelectric,Other countries,MW,2018,0,0,0,,1,2019
Solar,Sector,Egypt,Middle East & Africa,Solar,Other countries,MW,2018,95,0.095,95,,1,2019
Wind,Sector,Egypt,Middle East & Africa,Wind,Other countries,MW,2018,1127,1.127,1127,,1,2019
Biomass,Sector,Egypt,Middle East & Africa,Biomass,Other countries,GWh,2019,,0,0,0,1,2020
Coal,Sector,Egypt,Middle East & Africa,Coal,Other countries,GWh,2019,,0,0,0,1,2020
Hydroelectric,Sector,Egypt,Middle East & Africa,Hydroelectric,Other countries,GWh,2019,,12.73,12730,12730,1,2020
Natural Gas,Sector,Egypt,Middle East & Africa,Natural Gas,Other countries,GWh,2019,,157.957254,157957.254,157957.254,1,2020
Nuclear,Sector,Egypt,Middle East & Africa,Nuclear,Other countries,GWh,2019,,0,0,0,1,2020
Oil,Sector,Egypt,Middle East & Africa,Oil,Other countries,GWh,2019,,29.38643227,29386.43227,29386.43227,1,2020
Hydroelectric,Sector,Egypt,Middle East & Africa,Hydroelectric,Other countries,GWh,2019,,0,0,0,1,2020
Solar,Sector,Egypt,Middle East & Africa,Solar,Other countries,GWh,2019,,3.01089522,3010.89522,3010.89522,1,2020
Wind,Sector,Egypt,Middle East & Africa,Wind,Other countries,GWh,2019,,3.01,3010,3010,1,2020
Biomass,Sector,Egypt,Middle East & Africa,Biomass,Other countries,MW,2019,10,0.01,10,,1,2020
Coal,Sector,Egypt,Middle East & Africa,Coal,Other countries,MW,2019,0,0,0,,1,2020
Hydroelectric,Sector,Egypt,Middle East & Africa,Hydroelectric,Other countries,MW,2019,2832,2.832,2832,,1,2020
Natural Gas,Sector,Egypt,Middle East & Africa,Natural Gas,Other countries,MW,2019,46235,46.235,46235,,1,2020
Nuclear,Sector,Egypt,Middle East & Africa,Nuclear,Other countries,MW,2019,0,0,0,,1,2020
Oil,Sector,Egypt,Middle East & Africa,Oil,Other countries,MW,2019,7268,7.268,7268,,1,2020
Hydroelectric,Sector,Egypt,Middle East & Africa,Hydroelectric,Other countries,MW,2019,0,0,0,,1,2020
Solar,Sector,Egypt,Middle East & Africa,Solar,Other countries,MW,2019,1531,1.531,1531,,1,2020
Wind,Sector,Egypt,Middle East & Africa,Wind,Other countries,MW,2019,1389,1.389,1389,,1,2020
Biomass,Sector,Egypt,Middle East & Africa,Biomass,Other countries,GWh,2020,,0.03,30,30,1,2021
Coal,Sector,Egypt,Middle East & Africa,Coal,Other countries,GWh,2020,,0,0,0,1,2021
Hydroelectric,Sector,Egypt,Middle East & Africa,Hydroelectric,Other countries,GWh,2020,,14.171,14171,14171,1,2021
Natural Gas,Sector,Egypt,Middle East & Africa,Natural Gas,Other countries,GWh,2020,,157.957254,157957.254,157957.254,1,2021
Nuclear,Sector,Egypt,Middle East & Africa,Nuclear,Other countries,GWh,2020,,0,0,0,1,2021
Oil,Sector,Egypt,Middle East & Africa,Oil,Other countries,GWh,2020,,29.38643227,29386.43227,29386.43227,1,2021
Hydroelectric,Sector,Egypt,Middle East & Africa,Hydroelectric,Other countries,GWh,2020,,0,0,0,1,2021
Solar,Sector,Egypt,Middle East & Africa,Solar,Other countries,GWh,2020,,3.34128738,3341.28738,3341.28738,1,2021
Wind,Sector,Egypt,Middle East & Africa,Wind,Other countries,GWh,2020,,3.298,3298,3298,1,2021
Biomass,Sector,Egypt,Middle East & Africa,Biomass,Other countries,MW,2020,12,0.012,12,,1,2021
Coal,Sector,Egypt,Middle East & Africa,Coal,Other countries,MW,2020,0,0,0,,1,2021
Hydroelectric,Sector,Egypt,Middle East & Africa,Hydroelectric,Other countries,MW,2020,2832,2.832,2832,,1,2021
Natural Gas,Sector,Egypt,Middle East & Africa,Natural Gas,Other countries,MW,2020,46235,46.235,46235,,1,2021
Nuclear,Sector,Egypt,Middle East & Africa,Nuclear,Other countries,MW,2020,0,0,0,,1,2021
Oil,Sector,Egypt,Middle East & Africa,Oil,Other countries,MW,2020,7268,7.268,7268,,1,2021
Hydroelectric,Sector,Egypt,Middle East & Africa,Hydroelectric,Other countries,MW,2020,0,0,0,,1,2021
Solar,Sector,Egypt,Middle East & Africa,Solar,Other countries,MW,2020,1661,1.661,1661,,1,2021
Wind,Sector,Egypt,Middle East & Africa,Wind,Other countries,MW,2020,1389,1.389,1389,,1,2021
Biomass,Sector,Egypt,Middle East & Africa,Biomass,Other countries,GWh,2021,,0.02,20,20,1,2022
Coal,Sector,Egypt,Middle East & Africa,Coal,Other countries,GWh,2021,,0,0,0,1,2022
Hydroelectric,Sector,Egypt,Middle East & Africa,Hydroelectric,Other countries,GWh,2021,,12.616,12616,12616,1,2022
Natural Gas,Sector,Egypt,Middle East & Africa,Natural Gas,Other countries,GWh,2021,,157.957254,157957.254,157957.254,1,2022
Nuclear,Sector,Egypt,Middle East & Africa,Nuclear,Other countries,GWh,2021,,0,0,0,1,2022
Oil,Sector,Egypt,Middle East & Africa,Oil,Other countries,GWh,2021,,29.38643227,29386.43227,29386.43227,1,2022
Hydroelectric,Sector,Egypt,Middle East & Africa,Hydroelectric,Other countries,GWh,2021,,0,0,0,1,2022
Solar,Sector,Egypt,Middle East & Africa,Solar,Other countries,GWh,2021,,4.27733,4277.33,4277.33,1,2022
Wind,Sector,Egypt,Middle East & Africa,Wind,Other countries,GWh,2021,,4.036042572,4036.042572,4036.042572,1,2022
Biomass,Sector,Egypt,Middle East & Africa,Biomass,Other countries,MW,2021,12,0.012,12,,1,2022
Coal,Sector,Egypt,Middle East & Africa,Coal,Other countries,MW,2021,0,0,0,,1,2022
Hydroelectric,Sector,Egypt,Middle East & Africa,Hydroelectric,Other countries,MW,2021,2832,2.832,2832,,1,2022
Natural Gas,Sector,Egypt,Middle East & Africa,Natural Gas,Other countries,MW,2021,46235,46.235,46235,,1,2022
Nuclear,Sector,Egypt,Middle East & Africa,Nuclear,Other countries,MW,2021,0,0,0,,1,2022
Oil,Sector,Egypt,Middle East & Africa,Oil,Other countries,MW,2021,7268,7.268,7268,,1,2022
Hydroelectric,Sector,Egypt,Middle East & Africa,Hydroelectric,Other countries,MW,2021,0,0,0,,1,2022
Solar,Sector,Egypt,Middle East & Africa,Solar,Other countries,MW,2021,2021,2.021,2021,,1,2022
Wind,Sector,Egypt,Middle East & Africa,Wind,Other countries,MW,2021,1639,1.639,1639,,1,2022
Biomass,Sector,India,Asia-Pacific,Biomass,India,GWh,2010,,6.097,6097,6097,1,2011
Coal,Sector,India,Asia-Pacific,Coal,India,GWh,2010,,504.104,504104,504104,1,2011
Hydroelectric,Sector,India,Asia-Pacific,Hydroelectric,India,GWh,2010,,98.854,98854,98854,1,2011
Natural Gas,Sector,India,Asia-Pacific,Natural Gas,India,GWh,2010,,97.38355,97383.55,97383.55,1,2011
Nuclear,Sector,India,Asia-Pacific,Nuclear,India,GWh,2010,,24.55475,24554.75,24554.75,1,2011
Oil,Sector,India,Asia-Pacific,Oil,India,GWh,2010,,8.50201,8502.01,8502.01,1,2011
Hydroelectric,Sector,India,Asia-Pacific,Hydroelectric,India,GWh,2010,,2.954,2954,2954,1,2011
Solar,Sector,India,Asia-Pacific,Solar,India,GWh,2010,,0.069,69,69,1,2011
Wind,Sector,India,Asia-Pacific,Wind,India,GWh,2010,,17.44823,17448.23,17448.23,1,2011
Biomass,Sector,India,Asia-Pacific,Biomass,India,MW,2010,2600,2.6,2600,,1,2011
Coal,Sector,India,Asia-Pacific,Coal,India,MW,2010,92378.38,92.37838,92378.38,,1,2011
Hydroelectric,Sector,India,Asia-Pacific,Hydroelectric,India,MW,2010,30913.82,30.91382,30913.82,,1,2011
Natural Gas,Sector,India,Asia-Pacific,Natural Gas,India,MW,2010,17456.35,17.45635,17456.35,,1,2011
Nuclear,Sector,India,Asia-Pacific,Nuclear,India,MW,2010,4560,4.56,4560,,1,2011
Oil,Sector,India,Asia-Pacific,Oil,India,MW,2010,1199.75,1.19975,1199.75,,1,2011
Hydroelectric,Sector,India,Asia-Pacific,Hydroelectric,India,MW,2010,2953.58,2.95358,2953.58,,1,2011
Solar,Sector,India,Asia-Pacific,Solar,India,MW,2010,66,0.066,66,,1,2011
Wind,Sector,India,Asia-Pacific,Wind,India,MW,2010,13064,13.064,13064,,1,2011
Biomass,Sector,India,Asia-Pacific,Biomass,India,GWh,2011,,7.701,7701,7701,1,2012
Coal,Sector,India,Asia-Pacific,Coal,India,GWh,2011,,544.197,544197,544197,1,2012
Hydroelectric,Sector,India,Asia-Pacific,Hydroelectric,India,GWh,2011,,111.68,111680,111680,1,2012
Natural Gas,Sector,India,Asia-Pacific,Natural Gas,India,GWh,2011,,94.80543,94805.43,94805.43,1,2012
Nuclear,Sector,India,Asia-Pacific,Nuclear,India,GWh,2011,,30.95925,30959.25,30959.25,1,2012
Oil,Sector,India,Asia-Pacific,Oil,India,GWh,2011,,6.12492,6124.92,6124.92,1,2012
Hydroelectric,Sector,India,Asia-Pacific,Hydroelectric,India,GWh,2011,,3.3,3300,3300,1,2012
Solar,Sector,India,Asia-Pacific,Solar,India,GWh,2011,,0.393694783,393.6947828,393.6947828,1,2012
Wind,Sector,India,Asia-Pacific,Wind,India,GWh,2011,,17.44823,17448.23,17448.23,1,2012
Biomass,Sector,India,Asia-Pacific,Biomass,India,MW,2011,3168.79,3.16879,3168.79,,1,2012
Coal,Sector,India,Asia-Pacific,Coal,India,MW,2011,102863.38,102.86338,102863.38,,1,2012
Hydroelectric,Sector,India,Asia-Pacific,Hydroelectric,India,MW,2011,31448.4,31.4484,31448.4,,1,2012
Natural Gas,Sector,India,Asia-Pacific,Natural Gas,India,MW,2011,17742.85,17.74285,17742.85,,1,2012
Nuclear,Sector,India,Asia-Pacific,Nuclear,India,MW,2011,4780,4.78,4780,,1,2012
Oil,Sector,India,Asia-Pacific,Oil,India,MW,2011,1199.75,1.19975,1199.75,,1,2012
Hydroelectric,Sector,India,Asia-Pacific,Hydroelectric,India,MW,2011,3300,3.3,3300,,1,2012
Solar,Sector,India,Asia-Pacific,Solar,India,MW,2011,375,0.375,375,,1,2012
Wind,Sector,India,Asia-Pacific,Wind,India,MW,2011,16059,16.059,16059,,1,2012
Biomass,Sector,India,Asia-Pacific,Biomass,India,GWh,2012,,8.34524821,8345.24821,8345.24821,1,2013
Coal,Sector,India,Asia-Pacific,Coal,India,GWh,2012,,676.0372047,676037.2047,676037.2047,1,2013
Hydroelectric,Sector,India,Asia-Pacific,Hydroelectric,India,GWh,2012,,100.817,100817,100817,1,2013
Natural Gas,Sector,India,Asia-Pacific,Natural Gas,India,GWh,2012,,75.18358113,75183.58113,75183.58113,1,2013
Nuclear,Sector,India,Asia-Pacific,Nuclear,India,GWh,2012,,33.13971,33139.71,33139.71,1,2013
Oil,Sector,India,Asia-Pacific,Oil,India,GWh,2012,,2.356160867,2356.160867,2356.160867,1,2013
Hydroelectric,Sector,India,Asia-Pacific,Hydroelectric,India,GWh,2012,,3.496,3496,3496,1,2013
Solar,Sector,India,Asia-Pacific,Solar,India,GWh,2012,,1.21055,1210.55,1210.55,1,2013
Wind,Sector,India,Asia-Pacific,Wind,India,GWh,2012,,27.43770645,27437.70645,27437.70645,1,2013
Biomass,Sector,India,Asia-Pacific,Biomass,India,MW,2012,3776,3.776,3776,,1,2013
Coal,Sector,India,Asia-Pacific,Coal,India,MW,2012,120873,120.873,120873,,1,2013
Hydroelectric,Sector,India,Asia-Pacific,Hydroelectric,India,MW,2012,31758,31.758,31758,,1,2013
Natural Gas,Sector,India,Asia-Pacific,Natural Gas,India,MW,2012,18904,18.904,18904,,1,2013
Nuclear,Sector,India,Asia-Pacific,Nuclear,India,MW,2012,4780,4.78,4780,,1,2013
Oil,Sector,India,Asia-Pacific,Oil,India,MW,2012,1200,1.2,1200,,1,2013
Hydroelectric,Sector,India,Asia-Pacific,Hydroelectric,India,MW,2012,7375,7.375,7375,,1,2013
Solar,Sector,India,Asia-Pacific,Solar,India,MW,2012,1327,1.327,1327,,1,2013
Wind,Sector,India,Asia-Pacific,Wind,India,MW,2012,18431,18.431,18431,,1,2013
Biomass,Sector,India,Asia-Pacific,Biomass,India,GWh,2013,,10.19875431,10198.75431,10198.75431,1,2014
Coal,Sector,India,Asia-Pacific,Coal,India,GWh,2013,,730.6770282,730677.0282,730677.0282,1,2014
Hydroelectric,Sector,India,Asia-Pacific,Hydroelectric,India,GWh,2013,,117.774,117774,117774,1,2014
Natural Gas,Sector,India,Asia-Pacific,Natural Gas,India,GWh,2013,,46.29986076,46299.86076,46299.86076,1,2014
Nuclear,Sector,India,Asia-Pacific,Nuclear,India,GWh,2013,,33.29075,33290.75,33290.75,1,2014
Oil,Sector,India,Asia-Pacific,Oil,India,GWh,2013,,1.948585955,1948.585955,1948.585955,1,2014
Hydroelectric,Sector,India,Asia-Pacific,Hydroelectric,India,GWh,2013,,3.803,3803,3803,1,2014
Solar,Sector,India,Asia-Pacific,Solar,India,GWh,2013,,2.55723,2557.23,2557.23,1,2014
Wind,Sector,India,Asia-Pacific,Wind,India,GWh,2013,,29.82510997,29825.10997,29825.10997,1,2014
Biomass,Sector,India,Asia-Pacific,Biomass,India,MW,2013,4094,4.094,4094,,1,2014
Coal,Sector,India,Asia-Pacific,Coal,India,MW,2013,138213,138.213,138213,,1,2014
Hydroelectric,Sector,India,Asia-Pacific,Hydroelectric,India,MW,2013,32072,32.072,32072,,1,2014
Natural Gas,Sector,India,Asia-Pacific,Natural Gas,India,MW,2013,20382,20.382,20382,,1,2014
Nuclear,Sector,India,Asia-Pacific,Nuclear,India,MW,2013,4780,4.78,4780,,1,2014
Oil,Sector,India,Asia-Pacific,Oil,India,MW,2013,1200,1.2,1200,,1,2014
Hydroelectric,Sector,India,Asia-Pacific,Hydroelectric,India,MW,2013,7983,7.983,7983,,1,2014
Solar,Sector,India,Asia-Pacific,Solar,India,MW,2013,2365,2.365,2365,,1,2014
Wind,Sector,India,Asia-Pacific,Wind,India,MW,2013,20160,20.16,20160,,1,2014
Biomass,Sector,India,Asia-Pacific,Biomass,India,GWh,2014,,14.72288333,14722.88333,14722.88333,1,2015
Coal,Sector,India,Asia-Pacific,Coal,India,GWh,2014,,824.173408,824173.408,824173.408,1,2015
Hydroelectric,Sector,India,Asia-Pacific,Hydroelectric,India,GWh,2014,,114.371,114371,114371,1,2015
Natural Gas,Sector,India,Asia-Pacific,Natural Gas,India,GWh,2014,,43.1853,43185.3,43185.3,1,2015
Nuclear,Sector,India,Asia-Pacific,Nuclear,India,GWh,2014,,34.68574,34685.74,34685.74,1,2015
Oil,Sector,India,Asia-Pacific,Oil,India,GWh,2014,,1.839923317,1839.923317,1839.923317,1,2015
Hydroelectric,Sector,India,Asia-Pacific,Hydroelectric,India,GWh,2014,,3.99,3990,3990,1,2015
Solar,Sector,India,Asia-Pacific,Solar,India,GWh,2014,,3.34206,3342.06,3342.06,1,2015
Wind,Sector,India,Asia-Pacific,Wind,India,GWh,2014,,33.25144701,33251.44701,33251.44701,1,2015
Biomass,Sector,India,Asia-Pacific,Biomass,India,MW,2014,4489,4.489,4489,,1,2015
